feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	tmp	
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.269.s__CAG.269.sp000431335	Group	PD	-0.139661931	0.150595329	167	21	0.355074085	0.635801998	0.907731841	1.101646935
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.fusiformis	Group	PD	-0.138925857	0.362075529	167	134	0.70169993	0.85352974	0.90819509	1.10108501
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__HGM12998.s__HGM12998.sp900756495	Group	PD	-0.13593066	0.078291517	167	17	0.084392981	0.313946565	0.910082564	1.098801405
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.sp900540775	Group	PD	-0.130036645	0.26220911	167	38	0.620605665	0.846846241	0.913808239	1.094321497
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Muricoprocola.s__Muricoprocola.aceti	Group	PD	-0.128594354	0.110193837	167	20	0.244900935	0.550696156	0.914722248	1.093228029
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Parasutterella.s__Parasutterella.gallistercoris	Group	PD	-0.12651878	0.126645687	167	18	0.319258489	0.62093342	0.916039186	1.091656356
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Suilimivivens.s__	Group	PD	-0.120136596	0.111047371	167	17	0.280897766	0.584267354	0.92010053	1.086837761
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__RUG11247.s__RUG11247.sp902767315	Group	PD	-0.119514305	0.106494265	167	30	0.263382146	0.56477821	0.920497491	1.086369066
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Ventricola.s__Ventricola.sp900548125	Group	PD	-0.118097728	0.112300843	167	29	0.294511964	0.600573416	0.921401768	1.085302888
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__CAG.272.g__UMGS1696.s__UMGS1696.sp900753285	Group	PD	-0.116460136	0.087306374	167	20	0.184066788	0.455784428	0.922448238	1.084071668
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Excrementavichristensenella.s__Excrementavichristensenella.intestinipullorum	Group	PD	-0.115428455	0.112093684	167	20	0.304634555	0.614517396	0.923108123	1.083296718
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium_B.s__Lachnoclostridium_B.acetigenes	Group	PD	-0.111660666	0.127173322	167	22	0.381209824	0.66276995	0.925522093	1.080471236
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerobutyricum.s__Anaerobutyricum.hallii	Group	PD	-0.10922083	0.322362204	167	125	0.735180634	0.886146302	0.927088628	1.078645525
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes.amylophilus	Group	PD	-0.108747711	0.259857578	167	44	0.676133338	0.850305816	0.927392709	1.078291851
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp000436615	Group	PD	-0.108706194	0.270802951	167	47	0.688629053	0.85090368	0.927419397	1.078260821
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Peptostreptococcales.f__Anaerovoracaceae.g__Fimisoma.s__Fimisoma.avicola	Group	PD	-0.10780367	0.135345425	167	23	0.426881563	0.709272666	0.927999755	1.077586491
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__UBA11524.s__UBA11524.sp000437595	Group	PD	-0.103093469	0.378626583	167	63	0.785745085	0.910501269	0.931034498	1.074074056
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea_A.s__Dorea_A.longicatena	Group	PD	-0.102917465	0.373633138	167	106	0.783314735	0.910501269	0.931148088	1.073943031
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__JAGZHZ01.s__JAGZHZ01.sp018366495	Group	PD	-0.102157218	0.134293656	167	21	0.447921828	0.710790621	0.931638898	1.073377252
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.dispar	Group	PD	-0.101372708	0.181538073	167	25	0.577321293	0.817599837	0.932145643	1.072793728
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Pullichristensenella.s__Pullichristensenella.excrementigallinarum	Group	PD	-0.097274608	0.126033663	167	28	0.441328297	0.710790621	0.934797248	1.069750689
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.luti	Group	PD	-0.096747111	0.165484957	167	42	0.559596531	0.811122498	0.935139103	1.069359624
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea.s__Dorea.formicigenerans	Group	PD	-0.095802318	0.224768047	167	121	0.670497615	0.850305816	0.935751708	1.068659551
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Evtepia.s__Evtepia.sp004556345	Group	PD	-0.095038667	0.121457564	167	20	0.435051396	0.710790621	0.936247154	1.068094035
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Eubacterium_R.s__Eubacterium_R.sp000434995	Group	PD	-0.092554313	0.179734831	167	26	0.607277647	0.839264623	0.937860782	1.066256335
d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Mailhella.s__Mailhella.merdigallinarum	Group	PD	-0.089824548	0.087482891	167	23	0.306033057	0.614517396	0.939637015	1.064240748
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__UMGS1264.s__UMGS1264.sp904399395	Group	PD	-0.085846499	0.136735621	167	34	0.530984347	0.786083589	0.942231521	1.061310281
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Negativibacillus.s__Negativibacillus.massiliensis	Group	PD	-0.081171423	0.178876822	167	30	0.650580657	0.846846241	0.945289789	1.057876655
d__Bacteria.p__Cyanobacteriota.c__Vampirovibrionia.o__Gastranaerophilales.f__Gastranaerophilaceae.g__CAG.196.s__CAG.196.sp002102975	Group	PD	-0.077704267	0.130403421	167	22	0.552074586	0.805835186	0.947564289	1.055337366
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter.segnis	Group	PD	-0.076233115	0.286878416	167	90	0.790776439	0.912788403	0.948531036	1.05426176
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Faecivicinus.s__Faecivicinus.sp900553265	Group	PD	-0.074024037	0.104688191	167	27	0.480507598	0.740337633	0.949984555	1.052648693
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.245.s__CAG.245.sp000435175	Group	PD	-0.073488301	0.165735188	167	32	0.658051541	0.846846241	0.950337391	1.052257871
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia_C.s__Roseburia_C.amylophila	Group	PD	-0.072679929	0.265932349	167	56	0.784962614	0.910501269	0.950870034	1.051668434
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Hominicoprocola.s__Hominicoprocola.sp934835795	Group	PD	-0.072292438	0.251321161	167	100	0.773975919	0.910501269	0.951125461	1.051386006
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Peptostreptococcales.f__Anaerovoracaceae.g__CAG.238.s__CAG.238.sp900542245	Group	PD	-0.072252131	0.125768634	167	32	0.566422394	0.812345107	0.951152035	1.051356632
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium.merdipullorum	Group	PD	-0.071804729	0.133583998	167	21	0.591629272	0.828679385	0.951447047	1.051030641
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__CAG.138.g__UBA1685.s__UBA1685.sp002320595	Group	PD	-0.071353305	0.155726446	167	23	0.647414187	0.846846241	0.951744805	1.050701821
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola.massiliensis	Group	PD	-0.070951528	0.236479226	167	37	0.764529782	0.906109371	0.952009894	1.050409252
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp003516765	Group	PD	-0.070869459	0.127080489	167	36	0.577822962	0.817599837	0.952064051	1.0503495
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Pseudolachnospira.s__Pseudolachnospira.sp022867805	Group	PD	-0.070720357	0.169228984	167	41	0.676565445	0.850305816	0.952162452	1.050240952
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_G.s__Eubacterium_G.sp000434315	Group	PD	-0.069224466	0.173404583	167	43	0.690256298	0.85090368	0.953150235	1.04915255
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Vescimonas.s__Vescimonas.sp900545585	Group	PD	-0.068740863	0.134236304	167	22	0.609273837	0.839264623	0.953469792	1.048800925
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__QAND01.g__UMGS1975.s__UMGS1975.sp959600905	Group	PD	-0.063909617	0.137216695	167	46	0.64200376	0.846846241	0.95666809	1.045294612
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__CAG.272.g__UMGS911.s__UMGS911.sp003343545	Group	PD	-0.055702693	0.125956487	167	25	0.65889641	0.846846241	0.962125707	1.039365223
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Avimicrobium.s__Avimicrobium.caecorum	Group	PD	-0.054322635	0.126680895	167	41	0.668617366	0.850305816	0.9630465	1.038371459
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__CAG.382.g__Woodwardibium.s__Woodwardibium.sp900760275	Group	PD	-0.051429018	0.121799773	167	26	0.673397843	0.850305816	0.964980024	1.036290882
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_G.s__Eubacterium_G.segne	Group	PD	-0.048857071	0.122262995	167	36	0.689963259	0.85090368	0.966701864	1.034445093
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Pseudobutyricicoccus.s__Pseudobutyricicoccus.lothianensis	Group	PD	-0.048449217	0.10770268	167	19	0.653414598	0.846846241	0.966975192	1.034152694
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium.sp000435835	Group	PD	-0.048288715	0.118574426	167	31	0.68435668	0.85090368	0.967082776	1.034037649
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Porcipelethomonas.s__Porcipelethomonas.ammoniilytica	Group	PD	-0.04744563	0.217387711	167	31	0.827501298	0.92495268	0.967648087	1.033433553
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__CAG.274.g__CAG.274.s__CAG.274.sp900545305	Group	PD	-0.047279658	0.106468959	167	18	0.657573901	0.846846241	0.967759414	1.03331467
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__CAG.272.g__Flemingibacterium.s__Flemingibacterium.sp900546315	Group	PD	-0.042525521	0.094929988	167	17	0.654764495	0.846846241	0.970953748	1.029915176
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.103.s__CAG.103.sp900317855	Group	PD	-0.040175736	0.330934901	167	39	0.903521363	0.968723935	0.972536475	1.02823907
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides.zhangwenhongii	Group	PD	-0.039411504	0.149284447	167	26	0.792107244	0.912788403	0.973051788	1.02769453
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides.johnsonii	Group	PD	-0.037634734	0.134433081	167	18	0.779865415	0.910501269	0.974250901	1.026429638
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Fimadaptatus.s__Fimadaptatus.sp900553645	Group	PD	-0.033234621	0.128816156	167	26	0.796728106	0.91557705	0.97722683	1.023303873
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Pseudobutyricicoccus.s__Pseudobutyricicoccus.sp003477405	Group	PD	-0.033150255	0.098559129	167	17	0.737035145	0.886146302	0.977283978	1.023244034
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter.s__Odoribacter.laneus	Group	PD	-0.032172425	0.206115878	167	28	0.876153662	0.954765965	0.977946586	1.022550734
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Hominicoprocola.s__Hominicoprocola.sp003522105	Group	PD	-0.031169441	0.142533108	167	17	0.827167936	0.92495268	0.978626706	1.021840088
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__CAG.138.g__Phil1.s__Phil1.sp001940855	Group	PD	-0.029689412	0.181152715	167	22	0.870017049	0.954765965	0.979631173	1.020792343
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Muricoprocola.s__Muricoprocola.shaoxingensis	Group	PD	-0.027962007	0.135074157	167	20	0.83625553	0.930166579	0.980804833	1.019570833
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__UMGS1783.g__UMGS1783.s__UMGS1783.sp900555065	Group	PD	-0.027134698	0.099404439	167	23	0.785215545	0.910501269	0.981367434	1.01898633
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.269.s__CAG.269.sp000437215	Group	PD	-0.026371482	0.109931633	167	17	0.810713416	0.917188779	0.981886735	1.018447408
d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia.s__Akkermansia.biwaensis	Group	PD	-0.024645643	0.305113991	167	24	0.935718624	0.976262318	0.98306203	1.017229808
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Tidjanibacter.s__Tidjanibacter.inops	Group	PD	-0.022262446	0.211259539	167	25	0.916202598	0.972296635	0.984687298	1.015550827
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Acutalibacter.s__Acutalibacter.stercoravium	Group	PD	-0.021869752	0.152690507	167	17	0.886283866	0.954765965	0.984955362	1.015274437
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Fimenecus.s__Fimenecus.sp000432435	Group	PD	-0.020123042	0.280827431	167	36	0.942962253	0.976262318	0.986148596	1.01404596
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides.thetaiotaomicron	Group	PD	-0.017190683	0.245954786	167	106	0.944362927	0.976262318	0.988155037	1.011986948
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__CAG.382.g__Woodwardibium.s__Woodwardibium.gallinarum	Group	PD	-0.01391252	0.127293957	167	27	0.913101772	0.972296635	0.990402925	1.009690072
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp934394595	Group	PD	-0.01348537	0.15804473	167	61	0.932105438	0.976262318	0.990696204	1.009391169
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Alectryocaccomicrobium.s__Alectryocaccomicrobium.faecavium	Group	PD	-0.012741615	0.159457792	167	29	0.936408949	0.976262318	0.991207071	1.00887093
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter.s__Agathobacter.sp000434275	Group	PD	-0.01014967	0.145582778	167	20	0.94450292	0.976262318	0.992989474	1.00706002
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__UMGS1071.s__UMGS1071.sp934476545	Group	PD	-0.009457219	0.100077791	167	19	0.924827696	0.973995751	0.993466194	1.006576777
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Schaedlerella.s__Schaedlerella.hominis	Group	PD	-0.006712848	0.099011953	167	20	0.946028236	0.976262318	0.995357817	1.004663834
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Fimadaptatus.s__Fimadaptatus.faecigallinarum	Group	PD	-0.005474715	0.108710443	167	17	0.959896004	0.983538763	0.996212408	1.003801993
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Vescimonas.s__Vescimonas.coprocola	Group	PD	-0.001963969	0.217901859	167	68	0.992819582	0.997645537	0.998639607	1.001362247
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Paraprevotella.s__Paraprevotella.clara	Group	PD	-0.001780474	0.144111036	167	23	0.990157412	0.997645537	0.998766631	1.001234892
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Anaeromassilibacillus.s__Anaeromassilibacillus.sp001305115	Group	PD	-0.001576762	0.096582998	167	17	0.98699447	0.997645537	0.998907669	1.001093526
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Coprobacteraceae.g__Coprobacter.s__Coprobacter.fastidiosus	Group	PD	0.000388856	0.13157653	167	23	0.997645537	0.997645537	1.000269571	0.999730502
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides.salyersiae	Group	PD	0.000579364	0.136195971	167	23	0.996611027	0.997645537	1.000401665	0.999598496
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Peptostreptococcales.f__Anaerovoracaceae.g__Emergencia.s__Emergencia.sp904420065	Group	PD	0.00089673	0.094320478	167	18	0.992425894	0.997645537	1.000621759	0.999378627
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides.cellulosilyticus	Group	PD	0.001510211	0.347445115	167	80	0.996537162	0.997645537	1.001047347	0.998953749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus_A.s__Coprococcus_A.catus	Group	PD	0.004825657	0.227002496	167	58	0.983065401	0.997645537	1.003350491	0.996660697
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Negativibacillus.s__Negativibacillus.sp000435195	Group	PD	0.008893574	0.21159896	167	56	0.966525336	0.985476814	1.006183596	0.993854406
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus_C.s__Ruminococcus_C.callidus	Group	PD	0.008944347	0.195494409	167	23	0.963562888	0.984870176	1.006219007	0.99381943
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Brotaphodocola.s__	Group	PD	0.00967192	0.148362988	167	25	0.948100905	0.976262318	1.006726587	0.993318358
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus_A.s__Butyricicoccus_A.intestinisimiae	Group	PD	0.012079153	0.126105999	167	18	0.923807002	0.973995751	1.008407779	0.991662322
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Evtepia.s__Evtepia.excrementipullorum	Group	PD	0.014115779	0.238431671	167	37	0.952862366	0.978742578	1.009832335	0.990263398
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Choladousia.s__Choladousia.sp902363135	Group	PD	0.014986269	0.19857578	167	107	0.939933172	0.976262318	1.010441829	0.989666076
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp900551715	Group	PD	0.015174217	0.105007367	167	24	0.885277109	0.954765965	1.010573474	0.989537155
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter.s__Gordonibacter.urolithinfaciens	Group	PD	0.017479474	0.123203491	167	27	0.887351958	0.954765965	1.012189542	0.987957253
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__V9D3004.s__V9D3004.sp900760345	Group	PD	0.019111889	0.198477596	167	37	0.923405184	0.973995751	1.013335487	0.986840008
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp900545925	Group	PD	0.01938328	0.137675346	167	31	0.888207761	0.954765965	1.013526127	0.986654387
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Frisingicoccus.s__Frisingicoccus.sp900549105	Group	PD	0.0198561	0.139523203	167	21	0.887005646	0.954765965	1.013858349	0.98633108
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes_A.s__Alistipes_A.hominis	Group	PD	0.023535594	0.154784416	167	43	0.879330088	0.954765965	1.016447424	0.983818716
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.gordonii	Group	PD	0.026092197	0.111991143	167	18	0.816062236	0.917534034	1.01825027	0.982076833
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp900553545	Group	PD	0.028734543	0.115077969	167	25	0.803132809	0.917188779	1.02011694	0.980279771
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Scatomorpha.s__Scatomorpha.merdavium	Group	PD	0.029400637	0.122655857	167	19	0.810860169	0.917188779	1.020588038	0.979827279
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Onthomonas.s__Onthomonas.sp900545815	Group	PD	0.032418649	0.150166781	167	30	0.829344591	0.92495268	1.022725267	0.977779695
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster.sp001517625	Group	PD	0.036007968	0.198830527	167	26	0.856512295	0.945117015	1.0252729	0.975350075
d__Bacteria.p__Bacillota_C.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium.s__Phascolarctobacterium.faecium	Group	PD	0.036240599	0.337923022	167	75	0.914724801	0.972296635	1.025438236	0.975192815
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp934424005	Group	PD	0.039508931	0.349374711	167	135	0.910100882	0.972296635	1.027763934	0.972986079
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.schinkii_B	Group	PD	0.041203337	0.171451449	167	24	0.810379952	0.917188779	1.028971723	0.971844004
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Fimivicinus.s__Fimivicinus.sp900544375	Group	PD	0.041439287	0.226203405	167	27	0.854870092	0.945117015	1.029140024	0.971685074
